step,train_loss,val_loss,pairwise_acc,lr
100,0.6661802530288696,0.6942291893959045,0.532,4.967250533601059e-06
200,0.7988311052322388,0.6847482032775879,0.558,4.702607171860354e-06
300,0.6817995309829712,0.6791051292419433,0.56,4.199277146076933e-06
400,0.7766948938369751,0.6840246558189392,0.548,3.511804074514468e-06
500,0.5151031017303467,0.6810666427612305,0.558,2.714686331720543e-06
600,0.7368091344833374,0.6767731592655182,0.548,1.8943039936830347e-06
700,0.4561637043952942,0.6761035883426666,0.552,1.1395582162718524e-06
800,0.8555137515068054,0.6749201571941376,0.562,5.322374155568688e-07
900,0.5709954500198364,0.6743082733154296,0.556,1.381542238487188e-07
1000,0.48631271719932556,0.6742314090728759,0.558,1.3669799732163314e-11
