step,train_loss,val_loss,lr
250,5.794584393501282,5.65858564376831,0.00019991795817288755
500,6.073874235153198,5.499181461334229,0.00019696028860500734
750,5.909655690193176,5.400861978530884,0.00018987537739815772
1000,5.934318542480469,5.337656831741333,0.0001789648030744534
1250,5.644727110862732,5.284797843297323,0.0001646929885156918
1500,5.628055691719055,5.249869505564372,0.00014766743219529998
1750,5.781309723854065,5.2217092116673784,0.0001286128492103873
2000,5.646758675575256,5.197170114517212,0.00010834032283473512
2250,5.451877474784851,5.183908677101135,8.771277969726e-05
2500,5.352414608001709,5.16793516476949,6.760825818018508e-05
2750,5.673739075660706,5.159671568870545,4.8882533565645175e-05
3000,5.6482977867126465,5.15294447739919,3.2332690840297574e-05
3250,5.645133018493652,5.147855917612712,1.8663195729205264e-05
3500,5.442099571228027,5.144087632497151,8.45590818986104e-06
3750,5.705958962440491,5.144547414779663,2.1453147812408925e-06
4000,5.766440987586975,5.144180742899577,3.417452852927383e-11
